student_id,business_id,rating_1_to_5,accepted_match,feedback_comment
STU0001,BUS0142,5,True,"Scheduling was hard, but content was valuable."
STU0001,BUS0067,3,True,Somewhat helpful but not a strong fit.
STU0001,BUS0117,5,True,Great alignment on skills and goals.
STU0002,BUS0004,5,True,Excellent guidance on career direction.
STU0002,BUS0135,2,False,Somewhat helpful but not a strong fit.
STU0002,BUS0101,4,True,Somewhat helpful but not a strong fit.
STU0003,BUS0094,3,True,Mentor's experience was very relevant.
STU0003,BUS0175,5,True,Not enough overlap in interests.
STU0003,BUS0119,5,True,Great alignment on skills and goals.
STU0004,BUS0057,5,True,Somewhat helpful but not a strong fit.
STU0005,BUS0157,5,True,"Scheduling was hard, but content was valuable."
STU0005,BUS0004,4,True,Not enough overlap in interests.
STU0005,BUS0101,4,True,Great alignment on skills and goals.
STU0006,BUS0057,4,True,"Scheduling was hard, but content was valuable."
STU0006,BUS0107,4,True,"Good match, would recommend."
STU0007,BUS0130,5,True,"Good match, would recommend."
STU0007,BUS0158,5,True,Excellent guidance on career direction.
STU0007,BUS0063,4,True,Somewhat helpful but not a strong fit.
STU0008,BUS0183,5,True,Excellent guidance on career direction.
STU0008,BUS0076,4,True,Mentor's experience was very relevant.
STU0009,BUS0021,1,False,Not enough overlap in interests.
STU0009,BUS0188,5,True,"Scheduling was hard, but content was valuable."
STU0009,BUS0166,5,True,Mentor's experience was very relevant.
STU0010,BUS0033,4,True,Somewhat helpful but not a strong fit.
STU0011,BUS0069,3,True,Not enough overlap in interests.
STU0012,BUS0057,5,True,Great alignment on skills and goals.
STU0013,BUS0068,4,True,Somewhat helpful but not a strong fit.
STU0013,BUS0115,5,True,"Good match, would recommend."
STU0013,BUS0130,1,False,Great alignment on skills and goals.
STU0014,BUS0148,5,True,Great alignment on skills and goals.
STU0014,BUS0054,4,True,Not enough overlap in interests.
STU0015,BUS0010,5,True,Not enough overlap in interests.
STU0015,BUS0144,3,True,"Good match, would recommend."
STU0016,BUS0125,5,True,Great alignment on skills and goals.
STU0016,BUS0178,4,True,Not enough overlap in interests.
STU0017,BUS0091,5,True,"Scheduling was hard, but content was valuable."
STU0017,BUS0200,4,True,Somewhat helpful but not a strong fit.
STU0018,BUS0032,4,True,Not enough overlap in interests.
STU0018,BUS0112,5,True,Excellent guidance on career direction.
STU0018,BUS0180,4,True,"Scheduling was hard, but content was valuable."
STU0019,BUS0140,4,True,Mentor's experience was very relevant.
STU0020,BUS0015,5,True,Excellent guidance on career direction.
STU0020,BUS0110,4,True,Not enough overlap in interests.
STU0020,BUS0180,4,True,Mentor's experience was very relevant.
STU0021,BUS0192,5,True,Somewhat helpful but not a strong fit.
STU0021,BUS0147,4,True,Not enough overlap in interests.
STU0022,BUS0154,5,True,"Good match, would recommend."
STU0022,BUS0183,5,True,Not enough overlap in interests.
STU0024,BUS0102,5,True,Mentor's experience was very relevant.
STU0024,BUS0165,5,True,"Scheduling was hard, but content was valuable."
STU0025,BUS0143,4,True,Not enough overlap in interests.
STU0025,BUS0154,5,True,Mentor's experience was very relevant.
STU0026,BUS0059,5,True,Not enough overlap in interests.
STU0026,BUS0063,5,True,Somewhat helpful but not a strong fit.
STU0026,BUS0116,4,True,Great alignment on skills and goals.
STU0027,BUS0036,4,True,"Good match, would recommend."
STU0027,BUS0120,5,True,"Good match, would recommend."
STU0028,BUS0021,5,True,"Scheduling was hard, but content was valuable."
STU0028,BUS0186,5,True,Excellent guidance on career direction.
STU0029,BUS0093,5,True,Somewhat helpful but not a strong fit.
STU0029,BUS0193,5,True,Mentor's experience was very relevant.
STU0030,BUS0012,5,True,"Scheduling was hard, but content was valuable."
STU0030,BUS0042,5,True,"Good match, would recommend."
STU0030,BUS0044,4,True,Somewhat helpful but not a strong fit.
STU0031,BUS0124,5,True,Great alignment on skills and goals.
STU0032,BUS0116,5,True,Not enough overlap in interests.
STU0032,BUS0130,5,True,Mentor's experience was very relevant.
STU0033,BUS0166,5,True,Not enough overlap in interests.
STU0033,BUS0188,3,True,"Scheduling was hard, but content was valuable."
STU0033,BUS0142,2,False,Not enough overlap in interests.
STU0034,BUS0199,4,True,Not enough overlap in interests.
STU0034,BUS0046,3,True,Excellent guidance on career direction.
STU0034,BUS0187,5,True,Not enough overlap in interests.
STU0035,BUS0078,5,True,Excellent guidance on career direction.
STU0035,BUS0003,5,True,Not enough overlap in interests.
STU0035,BUS0048,4,True,Great alignment on skills and goals.
STU0036,BUS0048,5,True,Somewhat helpful but not a strong fit.
STU0037,BUS0160,3,True,"Good match, would recommend."
STU0037,BUS0085,4,True,Not enough overlap in interests.
STU0038,BUS0142,4,True,Excellent guidance on career direction.
STU0038,BUS0091,5,True,Great alignment on skills and goals.
STU0039,BUS0114,4,True,Mentor's experience was very relevant.
STU0040,BUS0084,5,True,Excellent guidance on career direction.
STU0040,BUS0142,5,True,Mentor's experience was very relevant.
STU0041,BUS0177,5,True,"Good match, would recommend."
STU0041,BUS0073,4,True,Excellent guidance on career direction.
STU0042,BUS0049,4,True,Excellent guidance on career direction.
STU0043,BUS0109,4,True,Excellent guidance on career direction.
STU0043,BUS0068,4,True,Great alignment on skills and goals.
STU0044,BUS0137,4,True,Somewhat helpful but not a strong fit.
STU0044,BUS0130,3,True,Excellent guidance on career direction.
STU0044,BUS0013,3,True,"Scheduling was hard, but content was valuable."
STU0045,BUS0123,4,True,Great alignment on skills and goals.
STU0045,BUS0039,5,True,Great alignment on skills and goals.
STU0046,BUS0068,4,True,Mentor's experience was very relevant.
STU0046,BUS0059,5,True,"Scheduling was hard, but content was valuable."
STU0047,BUS0001,4,True,Great alignment on skills and goals.
STU0047,BUS0176,5,True,"Good match, would recommend."
STU0048,BUS0060,5,True,Somewhat helpful but not a strong fit.
STU0049,BUS0109,5,True,"Scheduling was hard, but content was valuable."
STU0050,BUS0062,4,True,Excellent guidance on career direction.
STU0051,BUS0159,3,True,"Scheduling was hard, but content was valuable."
STU0052,BUS0149,5,True,Mentor's experience was very relevant.
STU0052,BUS0054,5,True,Great alignment on skills and goals.
